PMID,DOI,Title,Abstract,Year,Month,Day,Jabbrev,Journal,LastName,ForeName,Order,Address,Gender,CitationCount,Date.Received,Date.Published,Field
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Immel,Thomas J,1,"Space Sciences Laboratory, University of California, Berkeley, CA, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Harding,Brian J,2,"Space Sciences Laboratory, University of California, Berkeley, CA, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Heelis,Roderick A,3,"High Altitude Observatory, National Center for Atmospheric Research, Boulder, CO, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Maute,Astrid,4,"William B. Hanson Center for Space Sciences, University of Texas, Dallas, TX, USA",F,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Forbes,Jeffrey M,5,"Ann and H.J. Smead Department of Aerospace Engineering Sciences, University of Colorado, Boulder, CO, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,England,Scott L,6,"Department of Aerospace and Ocean Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Mende,Stephen B,7,"Space Sciences Laboratory, University of California, Berkeley, CA, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Englert,Christoph R,8,"Space Science Division, United States Naval Research Laboratory, Washington DC, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Stoneback,Russell A,9,"High Altitude Observatory, National Center for Atmospheric Research, Boulder, CO, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Marr,Kenneth,10,"Space Science Division, United States Naval Research Laboratory, Washington DC, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Harlander,John M,11,"Space Systems Research Corporation, Alexandria, VA, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
35003329,10.1038/s41561-021-00848-4,Regulation of ionospheric plasma velocities by thermospheric winds.,"Earth's equatorial ionosphere exhibits substantial and unpredictable day-to-day variations in density and morphology. This presents challenges in preparing for adverse impacts on geopositioning systems and radio communications even 24 hours in advance. The variability is now theoretically understood as a manifestation of thermospheric weather, where winds in the upper atmosphere respond strongly to a spectrum of atmospheric waves that propagate into space from the lower and middle atmosphere. Fi",2022,1,12,Nat Geosci,Nature geoscience,Makela,Jonathan J,12,"Department of Electrical and Computer Engineering, University of Illinois, Urbana, IL, USA",M,1,18-Dec-20,29-Nov-21,Geoscience
34917170,10.1038/s41561-021-00837-7,Development of Ice-Shelf Estuaries Promotes Fractures and Calving.,"As the global climate warms, increased surface meltwater production on ice shelves may trigger ice-shelf collapse and enhance global sea-level rise. The formation of surface rivers could help prevent ice-shelf collapse if they can efficiently evacuate meltwater. Here, we present observations of the evolution of a surface river into an ice-shelf estuary atop the Petermann Ice Shelf in northwest Greenland, and identify a second estuary at the nearby Ryder Ice Shelf. This surface hydrology process ",2021,12,22,Nat Geosci,Nature geoscience,Boghosian,Alexandra L,1,"Lamont-Doherty Earth Observatory of Columbia University, Palisades, New York, NY 10964",F,0,9-Sep-20,3-Dec-21,Geoscience
